id,mit_number,name,zone,primary_type,hosts,what_it_does,address,lat,lon,function_confidence,coords_status
maseeh,W1,Maseeh Hall,west_dorms,dorm,dorm_room;dorm_common;dining;party,Undergraduate residence with house dining hall (Flowers Dining Room).,305 Memorial Dr,42.35756,-71.09340,high,osm_footprint_centroid
mccormick,W4,McCormick Hall,west_dorms,dorm,dorm_room;dorm_common;dining;party,Undergraduate residence with house dining hall.,320 Memorial Dr,42.35718,-71.09440,medium,osm_footprint_centroid
baker,W7,Baker House,west_dorms,dorm,dorm_room;dorm_common;dining;party,Undergraduate residence with house dining hall.,362 Memorial Dr,42.35665,-71.09578,high,osm_footprint_centroid
burton_conner,W51,Burton-Conner House,west_dorms,dorm,dorm_room;dorm_common;party,Undergraduate residence.,410 Memorial Dr,42.35600,-71.09815,high,osm_footprint_centroid
macgregor,W61,MacGregor House,west_dorms,dorm,dorm_room;dorm_common;party,Undergraduate residence.,450 Memorial Dr,42.35545,-71.09950,high,osm_footprint_centroid
new_house,W70,New House,west_dorms,dorm,dorm_room;dorm_common;party,Undergraduate residence.,471 Memorial Dr,42.35511,-71.10041,high,osm_footprint_centroid
next_house,W71,Next House,west_dorms,dorm,dorm_room;dorm_common;dining;party,"Undergraduate residence, far west end of campus; house dining.",500 Memorial Dr,42.35463,-71.10179,medium,osm_footprint_centroid
simmons,W79,Simmons Hall,west_dorms,dorm,dorm_room;dorm_common;dining;party,Undergraduate residence on Vassar St; house dining.,229 Vassar St,42.35712,-71.10152,medium,osm_footprint_centroid
east_campus,62,East Campus,east,dorm,dorm_room;dorm_common;party,"Undergraduate residence near Ames St, closest dorm to Kendall Sq.",,42.36017,-71.08860,medium,osm_footprint_centroid
bldg7,7,Building 7 (Lobby 7),main_group,academic,lecture;orientation,Main entrance at 77 Mass Ave; west end of the Infinite Corridor; classrooms and offices.,77 Massachusetts Ave,42.35925,-71.09311,high,osm_footprint_centroid
bldg3,3,Building 3,main_group,academic,lecture;lab,"Main Group link between Bldgs 7 and 10; classrooms, labs, offices.",,42.35901,-71.09238,medium,osm_footprint_centroid
