id,maseeh,mccormick,baker,burton_conner,macgregor,new_house,next_house,simmons,east_campus,bldg7,bldg3,bldg10,bldg2,bldg4,bldg6,hayden,killian,bldg26,bldg45,bldg46,stata,media_lab,sloan,mit_medical,student_center,kresge,chapel,kresge_oval,zesiger,johnson,central_sq,back_bay
maseeh,0,115,275,534,692,796,953,836,612,237,227,327,376,356,412,478,247,516,585,687,633,741,1087,1083,251,187,139,225,289,354,1519,1124
mccormick,115,0,160,419,576,681,838,731,726,317,328,426,492,466,524,594,356,612,661,769,731,856,1202,1195,263,149,167,219,254,296,1489,1147
baker,275,160,0,260,417,522,678,593,885,454,479,572,652,622,681,753,511,755,782,896,873,1015,1362,1351,349,221,290,297,286,282,1463,1196
burton_conner,534,419,260,0,158,263,420,380,1139,687,725,813,910,872,934,1011,762,986,986,1104,1103,1271,1620,1598,547,436,523,499,450,397,1425,1340
macgregor,692,576,417,158,0,105,261,311,1298,842,883,969,1068,1030,1092,1170,920,1140,1132,1250,1256,1429,1778,1756,697,591,680,650,595,532,1449,1425
new_house,796,681,522,263,105,0,157,302,1402,945,987,1072,1173,1134,1196,1274,1024,1242,1229,1347,1357,1534,1883,1859,796,694,783,751,692,626,1470,1491
next_house,953,838,678,420,261,157,0,347,1558,1099,1142,1226,1329,1290,1352,1431,1180,1394,1374,1493,1508,1690,2040,2014,946,848,938,902,841,771,1510,1601
simmons,836,731,593,380,311,302,347,0,1393,913,975,1041,1191,1122,1188,1288,1020,1183,1129,1245,1290,1527,1888,1816,742,680,773,710,632,550,1172,1717
east_campus,612,726,885,1139,1298,1402,1558,1393,0,481,420,355,247,272,207,154,379,284,450,435,277,134,496,478,654,719,626,683,762,845,1713,1285
bldg7,237,317,454,687,842,945,1099,913,481,0,82,129,310,212,278,391,131,301,349,453,420,614,977,916,174,251,165,204,281,365,1383,1307
bldg3,227,328,479,725,883,987,1142,975,420,82,0,100,231,148,214,317,50,288,375,467,406,554,914,873,247,299,206,267,349,432,1463,1243
bldg10,327,426,572,813,969,1072,1226,1041,355,129,100,0,224,99,161,284,101,188,287,371,306,488,851,787,299,379,289,333,409,491,1442,1310
bldg2,376,492,652,910,1068,1173,1329,1191,247,310,231,224,0,131,107,102,181,308,467,513,387,369,710,725,477,511,419,493,575,658,1666,1133
bldg4,356,466,622,872,1030,1134,1290,1122,272,212,148,99,131,0,67,186,111,199,343,403,300,406,767,729,385,447,354,412,492,575,1538,1248
bldg6,412,524,681,934,1092,1196,1352,1188,207,278,214,161,107,67,0,126,172,202,365,407,282,340,700,671,452,512,420,479,559,642,1587,1240
hayden,478,594,753,1011,1170,1274,1431,1288,154,391,317,284,102,186,126,0,269,306,477,499,355,268,609,629,563,607,515,584,666,749,1712,1163
killian,247,356,511,762,920,1024,1180,1020,379,131,50,101,181,111,172,269,0,279,388,470,392,512,870,840,296,342,249,315,397,480,1507,1214
bldg26,516,612,755,986,1140,1242,1394,1183,284,301,288,188,308,199,202,306,279,0,172,206,119,396,749,633,449,550,467,492,558,636,1430,1440
bldg45,585,661,782,986,1132,1229,1374,1129,450,349,375,287,467,343,365,477,388,172,0,118,200,549,884,720,440,563,497,491,537,603,1264,1590
bldg46,687,769,896,1104,1250,1347,1493,1245,435,453,467,371,513,403,407,499,470,206,118,0,158,509,818,626,557,678,609,607,655,722,1308,1646
stata,633,731,873,1103,1256,1357,1508,1290,277,420,406,306,387,300,282,355,392,119,200,158,0,356,684,532,562,667,585,607,670,746,1455,1514
media_lab,741,856,1015,1271,1429,1534,1690,1527,134,614,554,488,369,406,340,268,512,396,549,509,356,0,363,369,787,853,760,817,896,979,1811,1320
sloan,1087,1202,1362,1620,1778,1883,2040,1888,496,977,914,851,710,767,700,609,870,749,884,818,684,363,0,305,1150,1211,1118,1179,1258,1341,2123,1426
mit_medical,1083,1195,1351,1598,1756,1859,2014,1816,478,916,873,787,725,729,671,629,840,633,720,626,532,369,305,0,1077,1166,1076,1117,1187,1267,1894,1646
student_center,251,263,349,547,697,796,946,742,654,174,247,299,477,385,452,563,296,449,440,557,562,787,1150,1077,0,129,112,52,110,192,1272,1375
kresge,187,149,221,436,591,694,848,680,719,251,299,379,511,447,512,607,342,550,563,678,667,853,1211,1166,129,0,93,78,108,168,1345,1291
chapel,139,167,290,523,680,783,938,773,626,165,206,289,419,354,420,515,249,467,497,609,585,760,1118,1076,112,93,0,91,167,244,1382,1263
kresge_oval,225,219,297,499,650,751,902,710,683,204,267,333,493,412,479,584,315,492,491,607,607,817,1179,1117,52,78,91,0,82,165,1294,1346
zesiger,289,254,286,450,595,692,841,632,762,281,349,409,575,492,559,666,397,558,537,655,670,896,1258,1187,110,108,167,82,0,84,1237,1399
johnson,354,296,282,397,532,626,771,550,845,365,432,491,658,575,642,749,480,636,603,722,746,979,1341,1267,192,168,244,165,84,0,1197,1442
central_sq,1519,1489,1463,1425,1449,1470,1510,1172,1713,1383,1463,1442,1666,1538,1587,1712,1507,1430,1264,1308,1455,1811,2123,1894,1272,1345,1382,1294,1237,1197,0,2636
back_bay,1124,1147,1196,1340,1425,1491,1601,1717,1285,1307,1243,1310,1133,1248,1240,1163,1214,1440,1590,1646,1514,1320,1426,1646,1375,1291,1263,1346,1399,1442,2636,0
