from_id,to_id,straight_line_m,walk_m_est,walk_min_est,method
maseeh,mccormick,264,330,4.1,haversine_x1.25_at_80m_per_min
maseeh,baker,407,509,6.4,haversine_x1.25_at_80m_per_min
maseeh,burton_conner,567,709,8.9,haversine_x1.25_at_80m_per_min
maseeh,macgregor,742,928,11.6,haversine_x1.25_at_80m_per_min
maseeh,new_house,862,1078,13.5,haversine_x1.25_at_80m_per_min
maseeh,next_house,1005,1256,15.7,haversine_x1.25_at_80m_per_min
maseeh,simmons,778,973,12.2,haversine_x1.25_at_80m_per_min
maseeh,east_campus,579,723,9.0,haversine_x1.25_at_80m_per_min
maseeh,bldg7,235,293,3.7,haversine_x1.25_at_80m_per_min
maseeh,bldg3,274,342,4.3,haversine_x1.25_at_80m_per_min
maseeh,bldg10,349,436,5.4,haversine_x1.25_at_80m_per_min
maseeh,bldg2,332,415,5.2,haversine_x1.25_at_80m_per_min
maseeh,bldg4,372,465,5.8,haversine_x1.25_at_80m_per_min
maseeh,bldg6,425,532,6.6,haversine_x1.25_at_80m_per_min
maseeh,hayden,447,559,7.0,haversine_x1.25_at_80m_per_min
maseeh,killian,291,364,4.5,haversine_x1.25_at_80m_per_min
maseeh,bldg26,435,544,6.8,haversine_x1.25_at_80m_per_min
maseeh,bldg45,509,636,7.9,haversine_x1.25_at_80m_per_min
maseeh,bldg46,576,720,9.0,haversine_x1.25_at_80m_per_min
maseeh,stata,668,834,10.4,haversine_x1.25_at_80m_per_min
maseeh,media_lab,713,892,11.1,haversine_x1.25_at_80m_per_min
maseeh,sloan,979,1223,15.3,haversine_x1.25_at_80m_per_min
maseeh,mit_medical,962,1202,15.0,haversine_x1.25_at_80m_per_min
maseeh,student_center,178,223,2.8,haversine_x1.25_at_80m_per_min
maseeh,kresge,107,133,1.7,haversine_x1.25_at_80m_per_min
maseeh,chapel,95,119,1.5,haversine_x1.25_at_80m_per_min
maseeh,kresge_oval,140,174,2.2,haversine_x1.25_at_80m_per_min
maseeh,zesiger,306,383,4.8,haversine_x1.25_at_80m_per_min
maseeh,johnson,419,524,6.5,haversine_x1.25_at_80m_per_min
maseeh,central_sq,1147,1434,17.9,haversine_x1.25_at_80m_per_min
maseeh,back_bay,962,1202,15.0,haversine_x1.25_at_80m_per_min
mccormick,maseeh,264,330,4.1,haversine_x1.25_at_80m_per_min
mccormick,baker,144,180,2.3,haversine_x1.25_at_80m_per_min
mccormick,burton_conner,307,383,4.8,haversine_x1.25_at_80m_per_min
mccormick,macgregor,484,605,7.6,haversine_x1.25_at_80m_per_min
mccormick,new_house,608,760,9.5,haversine_x1.25_at_80m_per_min
mccormick,next_house,755,944,11.8,haversine_x1.25_at_80m_per_min
mccormick,simmons,622,778,9.7,haversine_x1.25_at_80m_per_min
mccormick,east_campus,838,1047,13.1,haversine_x1.25_at_80m_per_min
mccormick,bldg7,436,545,6.8,haversine_x1.25_at_80m_per_min
mccormick,bldg3,496,619,7.7,haversine_x1.25_at_80m_per_min
mccormick,bldg10,564,705,8.8,haversine_x1.25_at_80m_per_min
mccormick,bldg2,576,720,9.0,haversine_x1.25_at_80m_per_min
mccormick,bldg4,607,758,9.5,haversine_x1.25_at_80m_per_min
mccormick,bldg6,668,835,10.4,haversine_x1.25_at_80m_per_min
mccormick,hayden,698,872,10.9,haversine_x1.25_at_80m_per_min
mccormick,killian,536,670,8.4,haversine_x1.25_at_80m_per_min
mccormick,bldg26,585,731,9.1,haversine_x1.25_at_80m_per_min
mccormick,bldg45,679,849,10.6,haversine_x1.25_at_80m_per_min
mccormick,bldg46,766,958,12.0,haversine_x1.25_at_80m_per_min
mccormick,stata,876,1095,13.7,haversine_x1.25_at_80m_per_min
mccormick,media_lab,960,1200,15.0,haversine_x1.25_at_80m_per_min
mccormick,sloan,1231,1539,19.2,haversine_x1.25_at_80m_per_min
mccormick,mit_medical,1191,1489,18.6,haversine_x1.25_at_80m_per_min
mccormick,student_center,340,425,5.3,haversine_x1.25_at_80m_per_min
mccormick,kresge,257,321,4.0,haversine_x1.25_at_80m_per_min
mccormick,chapel,299,374,4.7,haversine_x1.25_at_80m_per_min
mccormick,kresge_oval,298,372,4.7,haversine_x1.25_at_80m_per_min
mccormick,zesiger,380,475,5.9,haversine_x1.25_at_80m_per_min
mccormick,johnson,409,511,6.4,haversine_x1.25_at_80m_per_min
mccormick,central_sq,1020,1275,15.9,haversine_x1.25_at_80m_per_min
mccormick,back_bay,1140,1425,17.8,haversine_x1.25_at_80m_per_min
baker,maseeh,407,509,6.4,haversine_x1.25_at_80m_per_min
baker,mccormick,144,180,2.3,haversine_x1.25_at_80m_per_min
baker,burton_conner,163,203,2.5,haversine_x1.25_at_80m_per_min
baker,macgregor,341,426,5.3,haversine_x1.25_at_80m_per_min
baker,new_house,466,582,7.3,haversine_x1.25_at_80m_per_min
baker,next_house,615,768,9.6,haversine_x1.25_at_80m_per_min
baker,simmons,549,686,8.6,haversine_x1.25_at_80m_per_min
baker,east_campus,976,1220,15.2,haversine_x1.25_at_80m_per_min
baker,bldg7,559,698,8.7,haversine_x1.25_at_80m_per_min
baker,bldg3,622,778,9.7,haversine_x1.25_at_80m_per_min
baker,bldg10,686,857,10.7,haversine_x1.25_at_80m_per_min
baker,bldg2,708,885,11.1,haversine_x1.25_at_80m_per_min
baker,bldg4,735,919,11.5,haversine_x1.25_at_80m_per_min
baker,bldg6,799,998,12.5,haversine_x1.25_at_80m_per_min
baker,hayden,831,1039,13.0,haversine_x1.25_at_80m_per_min
baker,killian,669,836,10.5,haversine_x1.25_at_80m_per_min
baker,bldg26,681,852,10.6,haversine_x1.25_at_80m_per_min
baker,bldg45,780,975,12.2,haversine_x1.25_at_80m_per_min
baker,bldg46,873,1091,13.6,haversine_x1.25_at_80m_per_min
baker,stata,988,1235,15.4,haversine_x1.25_at_80m_per_min
baker,media_lab,1091,1364,17.0,haversine_x1.25_at_80m_per_min
