name,type,population,Baker House,Maseeh Hall,East Campus,Simmons Hall,Next House,Student Center,Walker Memorial,Hayden Library,Building 10,Building 26,Stata Center,Media Lab,Zesiger Gym,Kresge Auditorium
Baker House,dorm,320,0,181,1077,361,161,302,706,482,492,795,1007,1126,313,215
Maseeh Hall,dorm,460,181,0,896,472,342,166,525,301,328,622,833,946,263,81
East Campus,dorm,380,1077,896,0,1283,1238,822,371,595,638,371,273,124,944,880
Simmons Hall,dorm,340,361,472,1283,0,322,468,924,728,645,940,1142,1301,341,438
Next House,dorm,350,161,342,1238,322,0,452,867,643,646,952,1164,1287,424,370
Student Center,dining hall,260,302,166,822,468,452,0,457,264,196,504,716,853,156,92
Walker Memorial,dining hall,180,706,525,371,924,867,457,0,226,291,204,361,427,591,510
Hayden Library,library,150,482,301,595,728,643,264,226,0,184,361,560,651,416,296
Building 10,classroom,400,492,328,638,645,646,196,291,184,0,308,519,660,306,277
Building 26,classroom,300,795,622,371,940,952,504,204,361,308,0,212,363,600,582
Stata Center,classroom,350,1007,833,273,1142,1164,716,361,560,519,212,0,200,804,794
Media Lab,lab,160,1126,946,124,1301,1287,853,427,651,660,363,200,0,961,921
Zesiger Gym,gym,220,313,263,944,341,424,156,591,416,306,600,804,961,0,187
Kresge Auditorium,auditorium,120,215,81,880,438,370,92,510,296,277,582,794,921,187,0
